label,metric,metric_label,iteration,mean,std
Sensitivity x SNR,train/sex_score_binary,Gender,72,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,73,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,74,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,75,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,76,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,77,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,78,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,79,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,80,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,81,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,82,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,83,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,84,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,85,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,86,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,87,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,88,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,89,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,90,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,91,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,92,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,93,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,94,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,95,0.9799999892711639,0.02000001072883606
Sensitivity x SNR,train/sex_score_binary,Gender,96,0.9900000095367432,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,97,0.9950000047683716,0.004999995231628418
Sensitivity x SNR,train/sex_score_binary,Gender,98,1.0,0.0
Sensitivity x SNR,train/sex_score_binary,Gender,99,1.0,0.0
Variance x SNR,train/reward,Reward,0,0.4791359007358551,0.11269018054008484
Variance x SNR,train/reward,Reward,1,0.7770460247993469,0.15367203950881958
Variance x SNR,train/reward,Reward,2,0.6140149831771851,0.039281487464904785
Variance x SNR,train/reward,Reward,3,0.7011400461196899,0.15093344449996948
Variance x SNR,train/reward,Reward,4,0.8432245254516602,0.04892474412918091
Variance x SNR,train/reward,Reward,5,0.840137243270874,0.19997727870941162
Variance x SNR,train/reward,Reward,6,1.1400065422058105,0.006432890892028809
Variance x SNR,train/reward,Reward,7,1.262889802455902,0.18763786554336548
Variance x SNR,train/reward,Reward,8,1.4195470213890076,0.08420783281326294
Variance x SNR,train/reward,Reward,9,1.4295928478240967,0.09376466274261475
Variance x SNR,train/reward,Reward,10,1.3560892939567566,0.043501079082489014
Variance x SNR,train/reward,Reward,11,1.368521511554718,0.033990561962127686
Variance x SNR,train/reward,Reward,12,1.7316227555274963,0.1358845829963684
Variance x SNR,train/reward,Reward,13,1.5002756714820862,0.020269334316253662
Variance x SNR,train/reward,Reward,14,1.5643530488014221,0.11047142744064331
Variance x SNR,train/reward,Reward,15,1.506414532661438,0.009139537811279297
Variance x SNR,train/reward,Reward,16,1.5622410774230957,0.27126991748809814
Variance x SNR,train/reward,Reward,17,1.8189611434936523,0.10482358932495117
Variance x SNR,train/reward,Reward,18,1.9681025743484497,0.040080904960632324
Variance x SNR,train/reward,Reward,19,2.100793719291687,0.02241384983062744
Variance x SNR,train/reward,Reward,20,2.1385329961776733,0.18025600910186768
Variance x SNR,train/reward,Reward,21,2.0825369358062744,0.18015813827514648
Variance x SNR,train/reward,Reward,22,2.0595948696136475,0.2994060516357422
Variance x SNR,train/reward,Reward,23,1.8753670454025269,0.18947112560272217
Variance x SNR,train/reward,Reward,24,2.099584698677063,0.19627082347869873
Variance x SNR,train/reward,Reward,25,2.2075225114822388,0.1021806001663208
Variance x SNR,train/reward,Reward,26,2.289115309715271,0.013043999671936035
Variance x SNR,train/reward,Reward,27,2.316213011741638,0.02116692066192627
Variance x SNR,train/reward,Reward,28,2.3032554388046265,0.03513038158416748
Variance x SNR,train/reward,Reward,29,2.4790806770324707,0.08612918853759766
Variance x SNR,train/reward,Reward,30,2.669723391532898,0.21982800960540771
Variance x SNR,train/reward,Reward,31,2.715573310852051,0.19248747825622559
Variance x SNR,train/reward,Reward,32,2.664221167564392,0.1539672613143921
Variance x SNR,train/reward,Reward,33,2.6225792169570923,0.09377086162567139
Variance x SNR,train/reward,Reward,34,2.522257685661316,0.1347445249557495
Variance x SNR,train/reward,Reward,35,2.609674572944641,0.06235945224761963
Variance x SNR,train/reward,Reward,36,2.647331953048706,0.06018686294555664
Variance x SNR,train/reward,Reward,37,2.7488867044448853,0.01669490337371826
Variance x SNR,train/reward,Reward,38,2.7798914909362793,0.15996551513671875
Variance x SNR,train/reward,Reward,39,2.9068331718444824,0.07855868339538574
Variance x SNR,train/reward,Reward,40,2.9758851528167725,0.05610322952270508
Variance x SNR,train/reward,Reward,41,2.9971383810043335,0.04229080677032471
Variance x SNR,train/reward,Reward,42,3.024541735649109,0.05124771595001221
Variance x SNR,train/reward,Reward,43,3.0966217517852783,0.02145671844482422
Variance x SNR,train/reward,Reward,44,3.136329174041748,0.04430222511291504
Variance x SNR,train/reward,Reward,45,3.191028118133545,0.04394078254699707
Variance x SNR,train/reward,Reward,46,3.1817938089370728,0.048049330711364746
Variance x SNR,train/reward,Reward,47,3.2089946269989014,0.015021085739135742
Variance x SNR,train/reward,Reward,48,3.2481839656829834,0.0309298038482666
Variance x SNR,train/reward,Reward,49,3.2403570413589478,0.037094712257385254
Variance x SNR,train/reward,Reward,50,3.2903757095336914,0.03648519515991211
Variance x SNR,train/reward,Reward,51,3.3269288539886475,0.028651714324951172
Variance x SNR,train/reward,Reward,52,3.347432255744934,0.06369078159332275
Variance x SNR,train/reward,Reward,53,3.3311607837677,0.051735877990722656
Variance x SNR,train/reward,Reward,54,3.349023699760437,0.0457226037979126
Variance x SNR,train/reward,Reward,55,3.3494277000427246,0.0007364749908447266
Variance x SNR,train/reward,Reward,56,3.3451619148254395,0.05066990852355957
Variance x SNR,train/reward,Reward,57,3.3595679998397827,0.04968369007110596
Variance x SNR,train/reward,Reward,58,3.3567394018173218,0.02735602855682373
Variance x SNR,train/reward,Reward,59,3.38272762298584,0.057236671447753906
Variance x SNR,train/reward,Reward,60,3.4559425115585327,0.02278769016265869
Variance x SNR,train/reward,Reward,61,3.441752791404724,0.0011924505233764648
Variance x SNR,train/reward,Reward,62,3.4109270572662354,0.061902523040771484
Variance x SNR,train/reward,Reward,63,3.424729347229004,0.059970855712890625
Variance x SNR,train/reward,Reward,64,3.392244577407837,0.06723356246948242
Variance x SNR,train/reward,Reward,65,3.4257054328918457,0.029356718063354492
Variance x SNR,train/reward,Reward,66,3.4043763875961304,0.04738795757293701
Variance x SNR,train/reward,Reward,67,3.414545774459839,0.010354280471801758
Variance x SNR,train/reward,Reward,68,3.401606321334839,0.009992837905883789
Variance x SNR,train/reward,Reward,69,3.404190421104431,0.017699122428894043
Variance x SNR,train/reward,Reward,70,3.418858051300049,0.030462026596069336
Variance x SNR,train/reward,Reward,71,3.4748687744140625,0.015639066696166992
Variance x SNR,train/reward,Reward,72,3.4765132665634155,0.02233421802520752
Variance x SNR,train/reward,Reward,73,3.4990696907043457,0.019800424575805664
Variance x SNR,train/reward,Reward,74,3.4895867109298706,0.02635776996612549
Variance x SNR,train/reward,Reward,75,3.5263346433639526,0.032762885093688965
Variance x SNR,train/reward,Reward,76,3.531129479408264,0.016027092933654785
Variance x SNR,train/reward,Reward,77,3.544156312942505,0.016507387161254883
Variance x SNR,train/reward,Reward,78,3.5667879581451416,0.006786823272705078
Variance x SNR,train/reward,Reward,79,3.5738108158111572,0.0040552616119384766
Variance x SNR,train/reward,Reward,80,3.5655139684677124,0.004564404487609863
Variance x SNR,train/reward,Reward,81,3.530332565307617,0.03484010696411133
Variance x SNR,train/reward,Reward,82,3.549086332321167,0.05484414100646973
Variance x SNR,train/reward,Reward,83,3.4604490995407104,0.10381472110748291
Variance x SNR,train/reward,Reward,84,3.4410107135772705,0.0538177490234375
Variance x SNR,train/reward,Reward,85,3.5061510801315308,0.0764392614364624
Variance x SNR,train/reward,Reward,86,3.54638135433197,0.06792867183685303
Variance x SNR,train/reward,Reward,87,3.5330255031585693,0.04703402519226074
Variance x SNR,train/reward,Reward,88,3.556322693824768,0.024828553199768066
Variance x SNR,train/reward,Reward,89,3.55574631690979,0.013438701629638672
Variance x SNR,train/reward,Reward,90,3.5611566305160522,0.03477323055267334
Variance x SNR,train/reward,Reward,91,3.573017954826355,0.02144157886505127
Variance x SNR,train/reward,Reward,92,3.599670648574829,0.0231015682220459
Variance x SNR,train/reward,Reward,93,3.6059759855270386,0.036534905433654785
Variance x SNR,train/reward,Reward,94,3.6307249069213867,0.03252458572387695
Variance x SNR,train/reward,Reward,95,3.626336932182312,0.032444119453430176
Variance x SNR,train/reward,Reward,96,3.6391289234161377,0.031301021575927734
Variance x SNR,train/reward,Reward,97,3.6539143323898315,0.023327946662902832
Variance x SNR,train/reward,Reward,98,3.655219078063965,0.018945932388305664
Variance x SNR,train/reward,Reward,99,3.653860092163086,0.03708791732788086
Variance x SNR,train/ir_person,ImageReward,0,0.11913592368364334,0.03269020467996597
Variance x SNR,train/ir_person,ImageReward,1,-0.10295398160815239,0.17367203906178474
Variance x SNR,train/ir_person,ImageReward,2,-0.2159849777817726,0.009281463921070099
Variance x SNR,train/ir_person,ImageReward,3,-0.10885990783572197,0.02093340829014778
Variance x SNR,train/ir_person,ImageReward,4,-0.16677545756101608,0.03892473131418228
Variance x SNR,train/ir_person,ImageReward,5,-0.24986263364553452,0.1299772933125496
Variance x SNR,train/ir_person,ImageReward,6,-0.12999337911605835,0.016432911157608032
Variance x SNR,train/ir_person,ImageReward,7,-0.08711016736924648,0.042362043634057045
Variance x SNR,train/ir_person,ImageReward,8,-0.010452942922711372,0.06579223088920116
Variance x SNR,train/ir_person,ImageReward,9,0.029592838138341904,0.073764618486166
Variance x SNR,train/ir_person,ImageReward,10,0.07608937844634056,0.003501046448945999
Variance x SNR,train/ir_person,ImageReward,11,0.018521527526900172,0.023990550311282277
Variance x SNR,train/ir_person,ImageReward,12,0.1016227335203439,0.10588448937050998
Variance x SNR,train/ir_person,ImageReward,13,-0.019724195823073387,0.000269327312707901
Variance x SNR,train/ir_person,ImageReward,14,0.024353135377168655,0.09047140553593636
