timestep,metric,avg_deviation,variance,d_avg_deviation_diff,d_variance_diff,d_avg_deviation_grad,d_variance_grad
400,sex_score,0.003747795470990237,0.0022179460864369524,-7.0505710318682566e-06,1.3739979765367603e-06,6.0894432186614686e-05,5.5734340545064884e-05
420,sex_score,0.003606784050352872,0.0022454260459676876,0.00037215675378683965,0.00030978773252675747,0.0001825530913774857,0.00015558086525164713
440,sex_score,0.011049919126089665,0.008441180696502838,-0.0002258854366373273,-0.00021174418510818527,7.313565857475617e-05,4.902177370928611e-05
460,sex_score,0.006532210393343119,0.004206296994339132,0.0004888296506833286,0.000354882267479256,0.00013147210702300064,7.156904118553537e-05
480,sex_score,0.01630880340700969,0.011303942343924253,-8.484541438519635e-06,3.410457638798594e-05,0.00024017255462240446,0.000194493421933621
500,sex_score,0.016139112578239297,0.011986033871683972,-0.00021905408636666845,-0.00022487885642532413,-0.00011376931390259405,-9.538714001866909e-05
520,sex_score,0.011758030850905928,0.007488456743177489,0.0005911639293190091,0.00034289573147051964,0.00018605492147617036,5.900843752259777e-05
540,sex_score,0.023581309437286112,0.014346371372587883,0.0003970353773329407,0.00014778223627368156,0.0004940996533259749,0.0002453389838721006
560,sex_score,0.031522016983944925,0.017302016098061514,-0.0004979883141350002,-0.00014791690355289372,-5.0476468401029764e-05,-6.733363960608266e-08
580,sex_score,0.02156225070124492,0.01434367802700364,0.0009636994447791952,0.0006299505781966595,0.0002328555653220975,0.0002410168373218829
600,sex_score,0.040836239596828826,0.02694268959093683,0.00018025747418869245,0.00019858844322646427,0.0005719784594839438,0.00041426951071156184
620,sex_score,0.044441389080602675,0.030914458455466115,0.001682318119099363,0.000701877578246432,0.0009312877966440277,0.00045023301073644816
640,sex_score,0.07808775146258994,0.044952010020394756,0.0009843878301326193,0.0005217591999265726,0.001333352974615991,0.0006118183890865024
660,sex_score,0.09777550806524232,0.05538719401892621,0.0005405524622183307,0.0005201129407688069,0.0007624701461754751,0.0005209360703476898
680,sex_score,0.10858655730960894,0.06578945283430235,-0.0006236481015803305,-0.0003036920175707676,-4.154781968099992e-05,0.00010821046159901968
700,sex_score,0.09611359527800233,0.059715612482886996,0.0021315445435466243,0.0006763664753928839,0.0007539482209831469,0.00018633722891105812
720,sex_score,0.1387444861489348,0.07324294199074467,0.002068319672136569,0.0006239824668561745,0.0020999321078415964,0.0006501744711245293
740,sex_score,0.1801108795916662,0.08572259132786816,-0.00011525823990814615,0.00012790669642898724,0.0009765307161142114,0.0003759445816425809
760,sex_score,0.17780571479350327,0.08828072525644791,0.00047631956159603086,-0.0002375106917368669,0.00018053066084394235,-5.480199765393983e-05
780,sex_score,0.18733210602542388,0.08353051142171057,0.001949062725761902,0.0006006718070376213,0.0012126911436789664,0.0001815805576503772
800,sex_score,0.22631336054066192,0.095543947562463,0.00030561126081738723,0.0013228560967628346,0.0011273369932896446,0.0009617639519002279
820,sex_score,0.23242558575700967,0.12200106949771969,0.0010083775887032964,-0.0010928327311298177,0.0006569944247603419,0.00011501168281650848
840,sex_score,0.2525931375310756,0.10014441487512334,-0.0009861506044398977,0.0008949715303150308,1.1113492131699376e-05,-9.893060040739344e-05
860,sex_score,0.23287012544227764,0.11804384548142395,-0.000440888465265743,0.00022209255079991483,-0.0007135195348528204,0.0005585320405574728
880,sex_score,0.22405235613696278,0.12248569649742225,0.0012162699790205802,0.000698692133998835,0.00038769075687741865,0.0004603923423993749
900,sex_score,0.2483777557173744,0.13645953917739895,0.0016986874785507103,0.00022412477483010478,0.0014574787287856452,0.0004614084544144699
920,sex_score,0.2823515052883886,0.14094203467400104,0.00016763403371441998,0.000178406290901581,0.0009331607561325651,0.0002012655328658429
940,sex_score,0.285704185962677,0.14451016049203266,-0.0026586632195394477,-0.0013092521231137806,-0.0012455145929125139,-0.0005654229161060998
960,sex_score,0.23253092157188804,0.11832511802975705,0.002036098332726394,0.0006993717061102224,-0.000311282443406527,-0.0003049402085017791
980,sex_score,0.2732528882264159,0.1323125521519615,,,0.002036098332726394,0.0006993717061102224
0,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
20,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
40,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
60,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
80,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
100,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
120,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
140,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
160,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
180,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
200,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
220,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
240,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
260,sex_score_binary,0.0,0.0,0.0,0.0,0.0,0.0
